[balanced_init] cortico-thalamic loop rho(M): 1.547 -> 1.107 (target 1.107, tau=7.0)
[freeze] init-state params frozen: 15 keys
[run] seed=42 iters=20000 in_window_weight=19.0 delay=300 hold=50 -> runs/nln_lo10_seed042
step 10400, loss: 0.011384, sup_loss: 0.011384, acc: 0.9641, in_window: 0.7176, off_window: 0.1341, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10600, loss: 0.013515, sup_loss: 0.013515, acc: 0.9609, in_window: 0.7246, off_window: 0.1441, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10800, loss: 0.008355, sup_loss: 0.008355, acc: 0.9746, in_window: 0.7261, off_window: 0.1255, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11000, loss: 0.008039, sup_loss: 0.008039, acc: 0.9773, in_window: 0.7410, off_window: 0.1289, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11200, loss: 0.008480, sup_loss: 0.008480, acc: 0.9740, in_window: 0.7193, off_window: 0.1293, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11400, loss: 0.008412, sup_loss: 0.008412, acc: 0.9741, in_window: 0.7239, off_window: 0.1252, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11600, loss: 0.009238, sup_loss: 0.009238, acc: 0.9706, in_window: 0.7090, off_window: 0.1204, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 11800, loss: 0.007007, sup_loss: 0.007007, acc: 0.9804, in_window: 0.7299, off_window: 0.1246, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12000, loss: 0.008472, sup_loss: 0.008472, acc: 0.9779, in_window: 0.7553, off_window: 0.1361, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12200, loss: 0.008062, sup_loss: 0.008062, acc: 0.9759, in_window: 0.7364, off_window: 0.1288, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12400, loss: 0.007300, sup_loss: 0.007300, acc: 0.9800, in_window: 0.7234, off_window: 0.1209, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12600, loss: 0.010789, sup_loss: 0.010789, acc: 0.9646, in_window: 0.7096, off_window: 0.1410, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 12800, loss: 0.007084, sup_loss: 0.007084, acc: 0.9780, in_window: 0.7131, off_window: 0.1186, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13000, loss: 0.007220, sup_loss: 0.007220, acc: 0.9766, in_window: 0.7247, off_window: 0.1207, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13200, loss: 0.008744, sup_loss: 0.008744, acc: 0.9737, in_window: 0.7269, off_window: 0.1226, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13400, loss: 0.007158, sup_loss: 0.007158, acc: 0.9770, in_window: 0.7227, off_window: 0.1191, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13600, loss: 0.006773, sup_loss: 0.006773, acc: 0.9796, in_window: 0.7231, off_window: 0.1211, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 13800, loss: 0.006629, sup_loss: 0.006629, acc: 0.9801, in_window: 0.7345, off_window: 0.1225, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14000, loss: 0.007995, sup_loss: 0.007995, acc: 0.9794, in_window: 0.7362, off_window: 0.1218, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14200, loss: 0.006407, sup_loss: 0.006407, acc: 0.9823, in_window: 0.7323, off_window: 0.1264, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14400, loss: 0.005806, sup_loss: 0.005806, acc: 0.9833, in_window: 0.7334, off_window: 0.1185, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14600, loss: 0.007761, sup_loss: 0.007761, acc: 0.9787, in_window: 0.7282, off_window: 0.1193, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 14800, loss: 0.006083, sup_loss: 0.006083, acc: 0.9825, in_window: 0.7259, off_window: 0.1168, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15000, loss: 0.005625, sup_loss: 0.005625, acc: 0.9850, in_window: 0.7407, off_window: 0.1209, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15200, loss: 0.005178, sup_loss: 0.005178, acc: 0.9856, in_window: 0.7396, off_window: 0.1192, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15400, loss: 0.005569, sup_loss: 0.005569, acc: 0.9820, in_window: 0.7284, off_window: 0.1157, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15600, loss: 0.005410, sup_loss: 0.005410, acc: 0.9842, in_window: 0.7335, off_window: 0.1179, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 15800, loss: 0.005333, sup_loss: 0.005333, acc: 0.9825, in_window: 0.7309, off_window: 0.1162, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16000, loss: 0.005159, sup_loss: 0.005159, acc: 0.9857, in_window: 0.7461, off_window: 0.1195, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16200, loss: 0.005214, sup_loss: 0.005214, acc: 0.9851, in_window: 0.7383, off_window: 0.1179, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16400, loss: 0.005855, sup_loss: 0.005855, acc: 0.9809, in_window: 0.7314, off_window: 0.1157, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16600, loss: 0.005159, sup_loss: 0.005159, acc: 0.9844, in_window: 0.7404, off_window: 0.1166, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 16800, loss: 0.004666, sup_loss: 0.004666, acc: 0.9869, in_window: 0.7420, off_window: 0.1161, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17000, loss: 0.005855, sup_loss: 0.005855, acc: 0.9813, in_window: 0.7277, off_window: 0.1161, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17200, loss: 0.005620, sup_loss: 0.005620, acc: 0.9843, in_window: 0.7477, off_window: 0.1203, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17400, loss: 0.004600, sup_loss: 0.004600, acc: 0.9866, in_window: 0.7399, off_window: 0.1156, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17600, loss: 0.004416, sup_loss: 0.004416, acc: 0.9873, in_window: 0.7389, off_window: 0.1147, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 17800, loss: 0.017720, sup_loss: 0.017720, acc: 0.9453, in_window: 0.6893, off_window: 0.1497, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18000, loss: 0.005014, sup_loss: 0.005014, acc: 0.9845, in_window: 0.7371, off_window: 0.1150, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18200, loss: 0.004662, sup_loss: 0.004662, acc: 0.9861, in_window: 0.7371, off_window: 0.1150, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18400, loss: 0.004825, sup_loss: 0.004825, acc: 0.9840, in_window: 0.7344, off_window: 0.1139, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 18600, loss: 0.004583, sup_loss: 0.004583, acc: 0.9857, in_window: 0.7351, off_window: 0.1135, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
