[init=scratch] building fresh params from init_params (no Pavlovian bootstrap)
[balanced_init] cortico-thalamic loop rho(M): 1.701 -> 1.000 (target 1.0, tau=7.0)
Hybrid batch: inputs (100, 1000, 2) (2 cue channels: preparatory + go)
Training 10000 iters -> params_hybrid_scratch.pkl
step 8200, loss: 3.151301, reward: 0.0557, log_reward: -2.9084, success: 0.0557, entropy: 0.0111, brevity: 0.2415, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8400, loss: 3.076531, reward: 0.0601, log_reward: -2.8336, success: 0.0601, entropy: 0.0115, brevity: 0.2415, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0008, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8600, loss: 2.921138, reward: 0.0703, log_reward: -2.6780, success: 0.0703, entropy: 0.0124, brevity: 0.2416, norm_resp_time: 0.483, silence: 0.0007, tail: 0.0010, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 8800, loss: 2.646403, reward: 0.0925, log_reward: -2.4035, success: 0.0925, entropy: 0.0140, brevity: 0.2409, norm_resp_time: 0.482, silence: 0.0007, tail: 0.0014, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9000, loss: 2.252406, reward: 0.1367, log_reward: -2.0119, success: 0.1367, entropy: 0.0170, brevity: 0.2377, norm_resp_time: 0.475, silence: 0.0007, tail: 0.0022, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9200, loss: 1.779245, reward: 0.2172, log_reward: -1.5465, success: 0.2172, entropy: 0.0225, brevity: 0.2284, norm_resp_time: 0.457, silence: 0.0007, tail: 0.0039, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9400, loss: 1.337350, reward: 0.3317, log_reward: -1.1188, success: 0.3317, entropy: 0.0307, brevity: 0.2115, norm_resp_time: 0.423, silence: 0.0006, tail: 0.0068, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9600, loss: 1.010689, reward: 0.4491, log_reward: -0.8114, success: 0.4491, entropy: 0.0401, brevity: 0.1887, norm_resp_time: 0.377, silence: 0.0005, tail: 0.0105, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 9800, loss: 0.799922, reward: 0.5435, log_reward: -0.6172, success: 0.5435, entropy: 0.0486, brevity: 0.1686, norm_resp_time: 0.337, silence: 0.0004, tail: 0.0142, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
step 10000, loss: 0.662910, reward: 0.6141, log_reward: -0.4928, success: 0.6141, entropy: 0.0556, brevity: 0.1528, norm_resp_time: 0.306, silence: 0.0003, tail: 0.0175, asym: 0.0000, rest_pka: 0.0000, pathway_floor: 0.0000, c_snc_floor: 0.0000, gpe_floor: 0.0000, dead_area: 0.0000, dead_proj: 0.0000
Saved hybrid params to: /home/dsvedberg/Documents/CodeVault/cbtModels/cbt_loop_noSCnoSTN/params_hybrid_scratch.pkl
Final logged loss: 0.662910
Final mean reward: 0.6141
