,Input_0,Input_1,Adenosine_0,Cortex_0,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,SNc_0,SNc_1,SNc_2,SNc_3,GPe_0,GPe_1,GPe_2,GPe_3,GPe_4,GPe_5,SNr_0,SNr_1,SNr_2,SNr_3,SNr_4,SNr_5,Thalamus_0,Thalamus_1,Thalamus_2,Thalamus_3,Thalamus_4,Thalamus_5,Thalamus_6,Thalamus_7,Thalamus_8,Thalamus_9,Medulla_0,Medulla_1,Medulla_2,Medulla_3,Output_0
Cortex_7,-0.387912,-1.397948,0.000000,0.074726,0.153429,0.028512,-0.007599,0.937619,-0.672696,0.986333,-0.108411,-0.472796,0.676915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370630,0.996931,0.000000,1.144153,0.013063,0.563343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_8,-0.247454,-0.376793,0.000000,0.055398,0.195385,0.486422,0.757654,-0.805580,-0.086478,-0.074979,0.782559,0.373765,0.406961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130872,0.000000,0.000000,0.000000,0.000000,0.000000,0.292105,0.048755,0.064574,0.000000,0.000000,0.000000,0.000000,0.000000
Cortex_9,0.450114,2.028638,0.000000,0.486986,-0.218164,-0.006475,-0.753728,-0.083958,0.063194,0.046695,-0.346130,-0.708258,0.397643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.708825,0.000000,0.587618,0.000000,0.419587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D1_0,0.000000,0.000000,-0.094076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.055724,-0.477606,-0.000000,-0.000000,-0.000000,-0.000000,-0.298414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.853570,0.778959,1.432420,0.752654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D1_1,0.000000,0.000000,-0.094076,0.000000,0.468414,0.000000,0.000000,0.000000,0.385951,0.000000,0.000000,0.000000,0.000000,-0.389767,-0.000000,-0.848132,-0.000000,-0.000000,-0.101736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.869104,1.439294,0.663576,0.934202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D1_2,0.000000,0.000000,-0.094076,0.000000,0.000000,0.915420,0.100936,0.000000,0.000000,0.613205,0.694894,0.000000,0.332091,-0.000000,-0.128002,-0.841909,-0.273371,-0.258216,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.649993,1.101435,1.505465,0.474425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D1_3,0.000000,0.000000,-0.094076,0.000000,0.000000,0.000000,0.001580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.448289,-0.180635,-0.000000,-0.000000,-0.374574,-0.541961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.080311,0.702534,1.215957,0.756956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D1_4,0.000000,0.000000,-0.094076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940808,0.000000,0.000000,0.556186,-0.533180,-0.000000,-0.520327,-0.940715,-0.000000,-0.330028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363098,0.887806,1.211586,0.385580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D1_5,0.000000,0.000000,-0.094076,0.390220,0.000000,0.441828,0.000000,0.262549,0.000000,0.000000,0.233347,0.000000,0.323877,-0.868511,-0.000000,-0.000000,-1.048366,-0.336516,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591266,1.285446,0.619939,0.634137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D2_0,0.000000,0.000000,0.091782,0.000000,0.000000,0.331510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.725884,-0.000000,-0.000000,-0.000000,-0.354015,-0.271749,-0.357580,-0.368761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
